CountyName,PrecinctCode,PrecinctName,PrecinctSplitCode,Description,HouseNum,PrefixDirection,Street,StreetType,SuffixDirection,City,State,PostalCode,Line2,Comment,DayPhone,HandicapAccessible
ALLEGHENY,1100503,BETHEL PARK 05 03,1100503-1,SOUTH HILLS ASSEMBLY OF GOD LARGE LOBB,2725,,BETHEL CHURCH,RD,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100601,BETHEL PARK 06 01,1100601-1,BETHEL MASONIC HALL WILAMIT DR/MCNARY ENT,761,,MCNARY,PL,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100602,BETHEL PARK 06 02,1100602-1,BETHEL MASONIC HALL WILAMIT DR/MCNARY ENT,761,,MCNARY,PL,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100603,BETHEL PARK 06 03,1100603-1,RESIDENCE AT BETHEL PARK - ACTIVITY RM - UPPER ENT,5851,,KEYSTONE,DR,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100701,BETHEL PARK 07 01,1100701-1,RUTHFRED LUTHERAN CHURCH,3401,,SOUTH PARK,RD,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100702,BETHEL PARK 07 02,1100702-1,BETHEL PARK PRESBYTERIAN CHURCH AUD,2999,,BETHEL CHURCH,RD,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100703,BETHEL PARK 07 03,1100703-1,BETHEL PARK PRESBYTERIAN CHURCH AUD,2999,,BETHEL CHURCH,RD,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100801,BETHEL PARK 08 01,1100801-1,PATHFINDER SCHOOL,50,,DONATI,RD,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100802,BETHEL PARK 08 02,1100802-1,PATHFINDER SCHOOL,50,,DONATI,RD,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100803,BETHEL PARK 08 03,1100803-1,BETHEL PARK MUNICIPAL BUILDING COUNCIL CHAMBERS,5100,,WEST LIBRARY,AVE,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100804,BETHEL PARK 08 04,1100804-1,BETHEL PARK PRESBYTERIAN CHURCH RM 107,2999,,BETHEL CHURCH,RD,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100901,BETHEL PARK 09 01,1100901-1,GEORGE WASHINGTON ELEMENTARY GYM,515,,CLIFTON,RD,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100902,BETHEL PARK 09 02,1100902-1,WILLIAM PENN ELEMENTARY LIBRARY,110,,WOODLET,LANE,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100903,BETHEL PARK 09 03,1100903-1,JOHN MCMILLAN PRESBYTERIAN CHURCH,875,,CLIFTON,RD,,BETHEL PARK,PA,15102,,,,YES
