_id,x,y,fid,perimeter,publicbl_i,facility,facility_c,address,city,zipcode,class,municode
8315,-79.7787036559999,40.577639543,131,0,18,East Deer Township Building,,927 Freeport Rd,Creighton,15030,,907
8316,-79.898618939,40.492063278,132,0,27,ACHD-Arsenal Health Center,4AG,610 Fourth Ave,Pittsburgh,15219,Allegheny County,
8317,-79.996735117,40.444437744,133,0,21,DHS-Penn,DHS-P,933 Penn Avenue,Pittsburgh,15222,Allegheny County,
8318,-79.9548919809999,40.444204514,134,0,58,Soldiers & Sailors Memorial Hall,S&S,4141 Fifth Ave,Pittsburgh,15213,Allegheny County,
8319,-79.992943973,40.434484108,135,0,29,Allegheny County Jail,JAIL,950 Second Ave,Pittsburgh,15219,Allegheny County,
8320,-80.00205211,40.43769675,136,0,59,West Penn Building,WPB,14 Wood St,Pittsburgh,15222,Allegheny County,
8321,-79.928079108,40.4068357510001,137,0,31,Kane-Glen Hazel,K-GH,955 Rivermont Dr,Pittsburgh,15207,Allegheny County,
8322,-79.9968005819999,40.441736323,138,0,11,Alcoa Building,ALCO,425 Sixth St,Pittsburgh,15219,Allegheny County,
8323,-80.020081519,40.5916765,139,0,46,McCandless Township Building,,9955 Grubbs Rd,Wexford,15090,,927
8324,-79.986056293,40.5939919620001,140,0,41,PW - Dx 1,PW-1,2154 Wildwood Rd,Gibsonia,15044,Allegheny County,
8325,-80.030525406,40.3340646030001,141,0,4,Bethel Park Borough Building,,5100 W Library Ave,Bethel Park,15102,,876
8326,-79.9700099309999,40.4374393080001,142,0,61,Work Release Center,WRC,2410 Fifth Ave,Pittsburgh,15213,Allegheny County,
8327,-79.830972867,40.3151213560001,143,0,113,Versailles Borough Building,,5100 Walnut St,McKeesport,15132,,860
8328,-79.9626030809999,40.4386621240001,144,0,37,Nova House,NOVA,3346 Fifth Ave,Pittsburgh,15213,Allegheny County,
8329,-80.139095754,40.354325321,145,0,62,South Fayette Township Building,,515 Millers Run Rd,Morgan,15064,,946
8330,-79.9514071039999,40.466229029,146,0,3,ACHD-Clack Health Center,ACHD-Clck,3901 Penn Ave,Pittsburgh,15224,Allegheny County,
8331,-79.829387604,40.4053553300001,147,0,9,ACHD-Turtle Creek,ACHD-TC,519 Penn Avenue,Turtle Creek,15145,Allegheny County,
8332,-79.959490457,40.4615395390001,148,0,8,ACHD-Sassafrass,ACHD-Sss,3190 Sassafrass Way,Pittsburgh,15201,Allegheny County,
8333,-80.083600412,40.3973556,149,0,2,ACHD-Carnegie,ACHD-C,1100 Washington Blvd,Crafton,15106,Allegheny County,
8334,-79.914767911,40.429535839,150,0,9,Frick Park Service Center Garage,B159,1 English Lane,Pittsburgh,15217,City of Pittsburgh,100
8335,-79.9958905189999,40.437731634,151,0,14,County Office Building,COB,542 Forbes Ave,Pittsburgh,15219,Allegheny County,
8336,-79.952558456,40.4618261110001,152,0,1,Bloomfield Utility Building,B268,408 Ella St,Pittsburgh,15224,City of Pittsburgh,100
8337,-80.08416951,40.657272371,153,0,43,Marshall Township Building,,377 Northgate Dr,Warrendale,15086,,923
8338,-79.9958920669999,40.4141643880001,154,0,26,Mckinley Park Office,B052,441 Bausman St,Pittsburgh,15210,City of Pittsburgh,100
8339,-79.863521996,40.3508937450001,155,0,5,ACHD-McKeesport,ACHD-McK,339 Fifth Ave,McKeesport,15132,Allegheny County,
