OBJECTID,PERMANENT_IDENTIFIER,SOURCE_FEATUREID,SOURCE_DATASETID,SOURCE_DATADESC,SOURCE_ORIGINATOR,Data_Security,Distribution_Policy,LOADDATE,FType,FCode,NAME,IsLandmark,PointLocationType,AdminType,ADDRESSBUILDINGNAME,ADDRESS,CITY,STATE,ZIPCODE,GNIS_ID,FOOT_ID,COMPLEX_ID,GLOBALID,x,y
846351,{7D8E971F-8F0C-4540-AC64-03B4244AE291},280066000066,7b8dcd93-bfe8-4ce0-9ced-fc167b6bf29d,730 TNMC Update 4/24/2020,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,4/24/2020 7:28:01 PM,730,73007,Joe Barnes Career and Technical Center,2,1,,,500 Bradford Street,Rosedale,MS,38769,, , ,286fd347-64d7-49e3-9b43-28242b187e65,-91.0265457627507,33.8564196941632
847154,{7F883E21-CC61-4EE9-ADEE-AE25E9473CEE},130174002543,f363f5d7-d4d8-463c-9def-36d4e2df9f1e,730 TNMC Update 4/13/2020,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,4/13/2020 5:43:27 PM,730,73007,Warren Technical School,2,1,,,3075 Alton Road,Chamblee,GA,30341,, , ,a9d396f8-8fbf-45a7-9ae3-c6cd933cb124,-84.2624010001465,33.8799019996617
847214,{0F9A0F52-3F7E-4AFD-B563-76F4DBEC74C8},120054003706,512e8bc7-ff74-457f-b79e-ce54f83578a0,730 TNMC Update 8/12/2019,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,8/12/2019 1:20:16 PM,730,73007,Flagler Technical Institute,2,1,0,,5400 State Highway 100,Palm Coast,FL,32164,, , ,e29b87bc-1944-4de0-a967-7a0dcfae5063,-81.2113130094604,29.4762500425598
847329,{34E7A463-0100-4932-B2AA-6941FF289AFD},291092000370,c94012c7-eee4-47b6-abe2-e26107498e38,730 TNMC Update 1/13/2021,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,1/13/2021 5:31:32 PM,730,73007,Current River Vocational School,2,1,,,302 East Spring Street,Doniphan,MO,63935,, , ,7ee8d2ef-bd4e-4c1a-9061-c911eb945beb,-90.8238529995256,36.6200220001246
848047,{35598E14-8EAE-4BE1-AC40-D58A153F93EC},292514001442,cabc4258-df03-49d0-968f-716e3555644d,730 TNMC Update 12/13/2018,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,12/13/2018 3:55:41 PM,730,73007,Pike - Lincoln Technical Center,2,1,,,342 Vo Tech Road,Eolia,MO,63344,, , ,b2bc388d-810f-49e6-88a0-55a50a722590,-91.0203552241874,39.2457542205798
848565,{82832F2E-11B2-49DE-A078-E2A38C4034EC},290612000148,7d5b3198-9f6c-4e55-b175-88f5a8d6828e,730 TNMC Update 7/10/2018,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,7/10/2018 5:27:41 PM,730,73007,Dallas County Technical Center,2,1,,,33 Vo-Tech Road,Louisburg,MO,65685,, , ,69aeefce-5c2b-46c4-bc2a-4033c285342c,-93.141298592271,37.7543937509359
848706,{DDC58357-0AF5-4395-8AAD-BA167F4B99BC},470294001853,ee8874e8-fd9d-4e4e-82bf-f0cc833aed69,730 TNMC Update 11/27/2022,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,11/27/2022 8:14:03 PM,730,73007,Southwest Career and Technology Center,2,1,,,3746 Horn Lake Road,Memphis,TN,38109,, ,,d71dc8cd-43b3-48a9-b926-d498c25959a2,-90.0679509999172,35.0461919995945
848804,{57E2AAB7-FB9A-4CC5-8DA4-86E5E2FF35F1},368042004637,a44a73c1-6bde-4e17-a17c-d5fdcb5f7386,730 TNMC Update 6/23/2017,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,6/23/2017 5:19:20 PM,730,73007,Herkimer - Fulton - Hamilton - Otsego BOCES,2,1,0,,352 Gros Boulevard,Herkimer,NY,13350,, , ,07635b7f-195e-40a2-a019-a8562d9abf10,-74.9638977056069,43.0387268072969
849269,{0EEEDF4B-B6A4-4DC4-8E62-3FA9DF5EEA0A},420636505178,688aacc5-98d2-42c6-81f9-624fd9d61f75,730 TNMC Update 8/4/2017,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,8/4/2017 8:11:10 PM,730,73007,Columbia - Montour Area Vocational - Technical School,2,1,,,5050 Sweppenheiser Drive,Bloomsburg,PA,17815-8920,, , ,5ec0d7ef-ad39-4239-b56a-c52e5d85c77a,-76.3621826166297,41.0287132262733
849383,{5B1DB6B3-49B7-4D4F-AE49-64EA0ED0AF0C},390619004234,94b5b14a-668a-4c68-b771-aae0bc54146b,730 TNMC Update 10/17/2020,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,10/17/2020 1:37:43 AM,730,73007,Ohio Valley Career And Technical Center,2,1,,,175 Lloyd Road,West Union,OH,45693,, ,,294302ac-8dfc-44d3-9bcc-ceeb3a9b0633,-83.584145347102,38.8125346704567
